Element,Peak,DiffPeak,LowerEnergy,UpperEnergy,BackgroundE1,BackgroundE2,EVPerStep,Sweeps,Comment,Comment,Comment,Comment
Li1,37,47,22,57,25,55,0.5,10,0.2,0.16,0,-
Be1,98,104,85,120,88,118,0.5,15,0.14,0.1,0.045,-
B1,172,180,155,195,157,192,0.5,10,0.15,0.12,0.055,-
C1,263,272,245,295,293,248,1,10,0.18,0.14,0.08,-
N1,375,381,355,405,400,360,0.5,6,0.32,0.23,0.16,-
O1,503,510,485,540,535,490,0.5,4,0.5,0.4,0.35,-
F1,645,650,630,670,667,632,1,4,0.48,0.48,0.45,-
Ne1,0,0,0,0,0,0,0,0,0,0,0,-
Na1,979,0,955,1015,1009,959,1,5,0.21,0.25,0.23,-
Mg1,43,45,30,55,51,38,0.5,4,0.41,0,0,-
Mg2,1173,1175,1150,1205,1200,1156,1,8,0.1,0.13,0.13,-
Al1,64,68,45,80,74,49,0.5,8,0.24,0.19,0.15,-
Al2,1390,1396,1375,1415,1410,1380,1,20,0.047,0.07,0.07,-
Si1,89,92,70,100,97,75,0.5,5,0.35,0.28,0.15,-
Si2,1614,1619,1590,1635,1634,1607,1,30,0.023,0.038,0.042,-
P1,115,120,105,135,130,0,0.5,3,0.53,0.47,0.3,-
P2,1850,1865,1830,1865,1861,1833,1,30,0.011,0.022,0.023,-
S1,146,152,130,160,155,133,0.5,3,0.8,0.75,0.57,-
S2,2117,2121,0,0,0,0,1,1,0.004,0.012,0,-
Cl1,176,181,165,190,185,169,0.5,3,1.1,1.05,0.69,-
Ar1,211,215,200,225,220,203,0.5,5,0,0,0,-
K1,243,252,230,260,255,233,0.5,3,0.8,0.9,0.37,-
Ca1,284,294,255,300,296,260,0.5,4,0.47,0.4,0.22,-
Sc1,331,340,295,355,350,300,0.5,5,0.35,0.28,0.2,-
Ti1,381,387,360,405,400,365,0.5,6,0.321,0.248,0.168,-
Ti2,416,418,400,435,430,405,0.5,4,0.44,0.34,0.23,-
V1,428,437,405,450,448,410,0.5,5,0.322,0.272,0.208,-
V2,469,473,445,485,480,450,0.5,4,0.45,0.38,0.29,-
Cr1,486,489,475,505,502,482,0.5,6,0.23,0.223,0.201,-
Cr2,525,529,495,555,550,500,0.5,5,0.32,0.31,0.28,-
Mn1,528,542,515,560,558,517,0.5,8,0.185,0.193,0.16,-
Mn2,582,589,550,605,602,555,1,6,0.23,0.24,0.2,-
Mn3,631,636,605,665,660,610,1,8,0.171,0.179,0.149,-
Fe1,589,598,560,610,605,565,1,10,0.123,0.128,0.088,-
Fe2,645,651,612,675,670,612,1,8,0.182,0.191,0.13,-
Fe3,700,703,670,715,710,675,1,6,0.21,0.22,0.15,-
Co1,771,775,735,785,780,738,1,6,0.27,0.23,0.19,-
Co2,708,716,670,750,748,675,1,10,0.133,0.113,0.094,-
Co3,646,656,615,670,685,618,1,15,0.097,0.082,0.068,-
Ni1,844,848,805,860,855,808,1,6,0.27,0.27,0.22,-
Ni2,772,775,735,810,808,740,1,12,0.107,0.107,0.084,-
Ni3,707,716,675,730,725,677,1,20,0.066,0.066,0.054,-
Cu1,916,920,875,935,930,880,1,6,0.22,0.23,0.2,-
Cu2,836,849,800,885,880,804,1,16,0.065,0.068,0.059,-
Cu3,764,776,730,805,803,732,1,30,0.047,0.047,0.06,-
Zn1,990,994,940,1015,1010,946,1,8,0.17,0.19,0.18,-
Ga1,1066,1070,960,1150,0,0,1,10,0.13,0.16,0.14,-
Ge1,1143,1147,1125,1155,1150,1130,1,12,0.1,0.13,0.125,-
As1,1222,1228,1205,1240,1238,1210,1,12,0.08,0.12,0.11,-
Se1,1310,1315,1300,1330,0,0,1,16,0.064,0.092,0.088,-
Br1,1390,1396,1370,1405,1400,1375,1,20,0.05,0.075,0.074,-
Rb1,0,1565,1550,1575,0,0,1,25,0.031,0.052,0.053,-
Rb2,0,106,90,115,0,0,1,25,0,0,0,-
Sr1,0,1649,1634,1654,0,0,1,30,0.024,0.043,0.045,-
Sr2,0,103,90,115,0,0,1,30,0,0,0,-
Y1,126,127,110,135,130,115,0.5,12,0.17,0.11,0.1,-
Y2,1730,1746,1665,1770,1768,1670,1,30,0.019,0.036,0.038,-
Zr1,146,147,130,160,155,133,0.5,10,0.225,0.03,0.032,-
Nb1,164,167,145,175,173,147,0.5,6,0.27,0.21,0.18,-
Nb2,1936,1944,1900,1965,1961,1903,1,30,0.012,0.025,0.027,-
Mo1,184,186,175,200,194,178,0.5,6,0.34,0.28,0.28,-
Mo2,2036,2044,2010,2065,2063,2015,1,30,0.007,0.021,0.023,-
Ru1,0,273,258,278,0,0,1,3,0.51,0.5,0.37,-
Ru2,0,2270,0,0,0,0,0,0,0,0,0,-
Rh1,298,302,280,325,322,282,0.5,3,0.64,0.68,0.47,-
Rh2,0,2355,2240,2260,0,0,1,30,0,0.012,0.014,-
Pd1,321,326,290,355,351,291,0.5,3,0.8,0.89,0.6,-
Ag1,349,351,320,385,379,324,0.5,2,0.95,0.97,0.67,-
Cd1,375,376,345,415,410,350,0.5,2,0.98,0.99,0.68,-
In1,402,404,389,419,0,0,0.5,2,0.96,0.97,0.65,-
Sn1,427,430,410,445,440,416,0.5,2,0.8,0.9,0.53,-
Sb1,452,454,435,480,475,440,0.5,3,0.6,0.65,0.4,-
Te1,479,483,460,505,500,464,0.5,3,0.44,0.47,0.28,-
I1,0,511,496,525,0,0,0.5,4,0.32,0.34,0.21,-
Xe1,0,536,517,537,0,0,0.5,6,0.24,0.24,0.15,-
Xe2,0,0,537,547,0,0,0.5,6,0.24,0.24,0.15,-
Cs1,0,563,548,580,0,0,1,10,0.17,0.17,0.12,-
Ba1,0,52,42,62,0,0,0.5,15,0.09,0,0,-
Ba2,0,66,58,78,0,0,0.5,12,0.116,0,0,-
Ba3,0,584,569,604,0,0,1,12,0.125,0.12,0.08,-
Ba4,0,600,585,605,0,0,1,10,0,0,0,-
La1,78,63,83,0,0,0,0.5,4,0.356,0,0,-
La2,0,625,610,630,0,0,1,16,0.09,0.088,0.06,-
Ce1,0,82,67,87,0,0,0.5,8,0.178,0,0,-
Ce2,0,661,646,666,0,0,1,20,0.066,0.068,0.045,-
Br2,0,699,684,704,0,0,1,25,0.048,0.055,0.038,-
Nd1,0,91,76,96,0,0,0.5,6,0.266,0,0,-
Nd2,0,730,715,735,0,0,1,30,0.039,0.047,0.032,-
Nd3,0,854,839,859,0,0,1,0,0,0,0,-
Sm1,0,100,85,105,0,0,0.5,6,0.222,0,0,-
Sm2,0,814,799,819,0,0,1,30,0.028,0.033,0.026,-
Eu1,0,109,94,114,0,0,0.5,6,0.225,0,0,-
Eu2,0,139,124,144,0,0,0.5,6,0.231,0,0,-
Eu3,0,858,843,863,0,0,1,30,0.026,0.029,0.025,-
Gd1,105,108,85,115,112,87,0.5,12,0.123,0,0,-
Gd2,135,138,120,145,143,125,0.5,6,0.218,0,0,-
Gd3,867,895,795,895,890,800,1,30,0.024,0.027,0.024,-
Tb1,0,146,131,151,0,0,0.5,30,0.104,0.026,0.025,-
Tb2,0,933,1058,1078,0,0,1,30,0.023,0.026,0.025,-
Dy1,0,151,136,156,0,0,0.5,12,0.102,0,0,-
Dy2,0,1126,1111,1131,0,0,1,30,0.023,0.027,0.027,-
Ho1,0,157,142,162,0,0,0.5,15,0.093,0,0,-
Ho2,0,1175,1160,1180,0,0,1,30,0.024,0.03,0.03,-
Er1,0,154,148,168,0,0,0.5,6,0.267,0.218,0,-
Er2,0,1393,1378,1398,0,0,1,30,0.026,0.036,0.035,-
Tm1,0,166,151,171,0,0,0.5,16,0.078,0,0,-
Tm2,0,1449,1434,1454,0,0,1,30,0.028,0.042,0.04,-
Yb1,0,170,155,175,0,0,0.5,16,0.096,0,0,-
Yb2,0,1514,1499,1519,0,0,1,25,0.031,0.051,0.048,-
Lu1,0,171,162,182,0,0,0.5,18,0.076,0,0,-
Lu2,0,1573,1558,1578,0,0,1,25,0.038,0.062,0.058,-
Hf1,166,167,135,200,194,138,0.5,10,0.241,0.141,0,-
Hf2,1614,1624,1510,1665,1664,1514,1,20,0.046,0.073,0.07,-
Ta1,165,166,150,180,177,155,0.5,12,0.115,0.136,0,-
Ta2,1674,1680,1550,1710,1705,1552,1,18,0.055,0.082,0.085,-
W1,164,169,130,205,200,134,0.5,12,0.113,0.115,0,-
W2,1729,1736,1685,1760,1756,1689,1,16,0.049,0.08,0.083,-
Re1,173,176,161,181,0,0,0.5,16,0.081,0.096,0,-
Re2,1782,1799,1784,1804,0,0,1,20,0.04,0.07,0.075,-
Ir1,48,54,39,59,0,0,0.5,10,0.249,0.046,0,-
Ir2,168,171,156,176,0,0,0.5,10,0.284,0.067,0,-
Ir3,1899,1908,1893,1913,0,0,1,30,0.027,0.05,0.063,-
Pt1,59,69,49,69,0,0,0.5,5,0.33,0.28,0,-
Pt2,166,168,153,173,0,0,0.5,30,0.035,0.037,0,-
Pt3,1960,1967,1895,1995,1990,1900,1,30,0.023,0.042,0.057,-
Au1,68,69,54,74,0,0,0.5,4,0.44,0.34,0.21,-
Au2,238,239,205,255,250,207,0.5,30,0.037,0.038,0,-
Au3,2015,2024,1965,2055,2051,1970,1,30,0.019,0.036,0.053,-
Hg1,0,76,61,81,0,0,0.5,30,0,0.03,0,-
Hg2,0,243,226,246,0,0,0.5,30,0,0.018,0,-
Hg3,0,2079,2063,2083,0,0,1,30,0.014,0.03,0.047,-
Tl1,0,84,69,89,0,0,0.5,4,0.45,0.42,0,-
Tl2,0,244,229,249,0,0,0.5,30,0.036,0.028,0,-
Tl3,0,2131,2119,2139,0,0,1,30,0.012,0.026,0.043,-
Pb1,88,94,65,105,100,68,0.5,4,0.38,0.4,0,-
Pb2,245,249,220,265,260,225,0.5,30,0.022,0.033,0,-
Pb3,0,2187,2171,2191,0,0,1,30,0.01,0.021,0.04,-
Bi1,96,101,65,115,113,68,0.5,4,0.33,0.37,0,-
Bi2,242,249,220,265,260,222,0.5,30,0.022,0.031,0,-
Bi3,2226,2249,2175,2280,2276,2176,1,30,0,0.018,0.036,-
Th1,53,0,40,65,60,43,0.5,5,0,0.286,0,-
Th2,235,0,225,250,246,228,0.5,20,0,0.077,0,-
U1,72,0,50,85,82,56,0.5,3,0.437,0,0,-
U2,279,0,265,305,300,268,0.5,10,0.142,0,0,-
Survey,1030,1030,30,1030,30,1030,1,1,0,0,0,-
